 #energy          xx(cm^-1)       yy(cm^-1)       zz(cm^-1)       xy(cm^-1)       yz(cm^-1)       zx(cm^-1)
  0.12830000E+01  0.62343688E+05  0.62343688E+05  0.62343688E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12911000E+01  0.62634845E+05  0.62634845E+05  0.62634845E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.12993000E+01  0.62929391E+05  0.62929391E+05  0.62929391E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13075000E+01  0.63229407E+05  0.63229407E+05  0.63229407E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13156000E+01  0.63523225E+05  0.63523225E+05  0.63523225E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13238000E+01  0.63820507E+05  0.63820507E+05  0.63820507E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13320000E+01  0.64123520E+05  0.64123520E+05  0.64123520E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13402000E+01  0.64425262E+05  0.64425262E+05  0.64425262E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13483000E+01  0.64720931E+05  0.64728144E+05  0.64720931E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13565000E+01  0.65027397E+05  0.65027397E+05  0.65027397E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13647000E+01  0.65340013E+05  0.65340013E+05  0.65332693E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13729000E+01  0.65644189E+05  0.65644189E+05  0.65644189E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13810000E+01  0.65949840E+05  0.65949840E+05  0.65949840E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13892000E+01  0.66259202E+05  0.66259202E+05  0.66259202E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.13974000E+01  0.66575023E+05  0.66575023E+05  0.66575023E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14055000E+01  0.66885116E+05  0.66885116E+05  0.66885116E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14137000E+01  0.67199002E+05  0.67199002E+05  0.67199002E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14219000E+01  0.67519606E+05  0.67519606E+05  0.67519606E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14301000E+01  0.67839340E+05  0.67839340E+05  0.67839340E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14382000E+01  0.68161259E+05  0.68161259E+05  0.68153466E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14464000E+01  0.68479309E+05  0.68479309E+05  0.68479309E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14546000E+01  0.68804383E+05  0.68804383E+05  0.68804383E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14627000E+01  0.69131909E+05  0.69131909E+05  0.69131909E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14709000E+01  0.69463497E+05  0.69463497E+05  0.69463497E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14791000E+01  0.69794415E+05  0.69794415E+05  0.69794415E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14873000E+01  0.70124663E+05  0.70124663E+05  0.70124663E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.14954000E+01  0.70457680E+05  0.70457680E+05  0.70457680E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15036000E+01  0.70794842E+05  0.70794842E+05  0.70794842E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15118000E+01  0.71139685E+05  0.71139685E+05  0.71139685E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15199000E+01  0.71479353E+05  0.71479353E+05  0.71479353E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15281000E+01  0.71823255E+05  0.71823255E+05  0.71823255E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15363000E+01  0.72166684E+05  0.72175083E+05  0.72166684E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15445000E+01  0.72518089E+05  0.72518089E+05  0.72518089E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15526000E+01  0.72872923E+05  0.72872923E+05  0.72872923E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15608000E+01  0.73223630E+05  0.73223630E+05  0.73223630E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15690000E+01  0.73582554E+05  0.73582554E+05  0.73582554E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15771000E+01  0.73945151E+05  0.73945151E+05  0.73936512E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15853000E+01  0.74303568E+05  0.74303568E+05  0.74303568E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.15935000E+01  0.74670440E+05  0.74670440E+05  0.74670440E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16017000E+01  0.75045908E+05  0.75045908E+05  0.75045908E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16098000E+01  0.75407775E+05  0.75407775E+05  0.75407775E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16180000E+01  0.75791888E+05  0.75791888E+05  0.75783016E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16262000E+01  0.76167083E+05  0.76167083E+05  0.76167083E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16343000E+01  0.76546467E+05  0.76546467E+05  0.76546467E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16425000E+01  0.76930534E+05  0.76930534E+05  0.76930534E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16507000E+01  0.77323652E+05  0.77323652E+05  0.77323652E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16589000E+01  0.77716859E+05  0.77716859E+05  0.77716859E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16670000E+01  0.78105469E+05  0.78105469E+05  0.78105469E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16752000E+01  0.78508033E+05  0.78508033E+05  0.78508033E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16834000E+01  0.78910773E+05  0.78910773E+05  0.78910773E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16915000E+01  0.79318264E+05  0.79318264E+05  0.79318264E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.16997000E+01  0.79730702E+05  0.79730702E+05  0.79730702E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17079000E+01  0.80143400E+05  0.80143400E+05  0.80143400E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17161000E+01  0.80565746E+05  0.80565746E+05  0.80565746E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17242000E+01  0.80983736E+05  0.80983736E+05  0.80983736E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17324000E+01  0.81416230E+05  0.81416230E+05  0.81416230E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
  0.17406000E+01  0.81849144E+05  0.81849144E+05  0.81849144E+05  0.00000000E+00  0.00000000E+00  0.00000000E+00
